iter	Passed	Remaining
0	3	305
1	5	283
2	8	280
3	11	265
4	14	266
5	16	264
6	19	261
7	22	257
8	25	256
9	28	253
10	31	251
11	34	250
12	37	248
13	41	253
14	44	249
15	46	245
16	49	241
17	52	238
18	55	236
19	58	233
20	61	230
21	63	226
22	66	223
23	69	220
24	72	217
25	75	215
26	78	211
27	80	207
28	83	205
29	86	202
30	89	199
31	92	197
32	96	195
33	99	192
34	102	190
35	105	187
36	108	184
37	111	181
38	114	178
39	117	175
40	120	172
41	121	167
42	123	163
43	126	161
44	129	158
45	132	155
46	135	152
47	137	149
48	140	146
49	143	143
50	146	140
51	148	137
52	151	134
53	154	131
54	155	127
55	158	124
56	161	121
57	164	118
58	166	115
59	169	112
60	172	110
61	175	107
62	177	104
63	180	101
64	183	98
65	185	95
66	188	92
67	191	89
68	193	87
69	196	84
70	199	81
71	202	78
72	205	75
73	207	72
74	210	70
75	213	67
76	216	64
77	218	61
78	221	58
79	224	56
80	226	53
81	229	50
82	232	47
83	234	44
84	237	41
85	240	39
86	243	36
87	245	33
88	248	30
89	250	27
90	253	25
91	256	22
92	259	19
93	262	16
94	265	13
95	267	11
96	270	8
97	273	5
98	275	2
99	278	0
